sample_id,L,a,b,umur_simpan
1,14.759135449158308,-0.13418064381706074,1.7609125950619955,0
2,13.346645878615188,-0.29298864081472686,1.7763415589502642,0
3,14.161532256409528,-0.1371870219789031,1.4914258111263052,0
4,14.20651617925053,-0.21315689981096853,1.5007939508506638,0
5,14.60290019225324,-0.13269571826704407,1.6548644540156943,0
6,12.860556793224946,-0.10707091055600415,0.9721998388396571,0
7,15.140228437494535,-0.18688670829615717,1.7590544157002626,0
8,14.44779478289959,0.006979449398983206,0.7870492438929944,0
9,13.955910241558332,0.19326039387308924,0.05628008752734104,0
10,12.690021954727836,0.11116473616473854,-0.07609395109395223,0
11,14.826343641980975,0.027561102444110475,0.4426417056682226,0
12,16.108067542213885,0.09951219512194598,-0.06063789868667868,0
13,13.517347684802395,0.22077266223382708,-0.11034424711724,0
14,15.261370444131412,0.12861271676300134,-0.01909578860446004,0
15,13.352486293662766,0.2196988196988059,-0.0659340659340728,0
16,13.17206404883024,0.12583153001523328,-0.11477117896930622,0
17,13.476963217754385,0.1304880407452913,0.2598156147250279,0
18,14.503591273873669,0.15033285581864675,0.437431532822103,0
19,13.761265375715505,0.06890527950309888,0.30518892339543413,0
20,13.822409300461015,0.11072931878703685,0.19388368696846214,0
1,16.320470560506333,-0.2262683401095984,2.17111543220787,1
2,15.320022450829937,-0.11743511042904231,2.1588710215520166,1
3,16.843832611002213,-0.21889330479974944,2.5588505044328826,1
4,16.83992193474288,-0.10397530492396356,1.754555036892043,1
5,13.520957661541745,-0.02337821834291276,1.9131102241326232,1
6,15.592910022454959,-0.04958951820216839,1.7804129695662994,1
7,16.132012060455917,-0.09402546523016042,1.9550440744368132,1
8,16.575298925626367,0.09150004114209764,1.752159960503576,1
9,15.738201597175422,0.018351414376951425,0.6509175707188604,1
10,16.653381678703067,0.06683647478348576,0.7178807947019834,1
11,16.29710769285573,0.08856591347790754,0.48427387305551406,1
12,14.989265129041168,0.11017719218537536,0.5894290474026889,1
13,16.194252982091715,0.10706260032102932,0.5289727126805701,1
14,15.732406789242084,0.09502112501036208,0.17347361444785747,1
15,15.936911171681638,0.13992239214792335,0.6641177813284571,1
16,13.81988959213799,0.12736335510484764,0.5551735991749638,1
17,13.705109798837523,0.11064765233075491,0.4679555831125697,1
18,13.890248599439778,0.21410714285713084,0.04401785714284756,1
19,15.28211868945037,0.09325251935155165,0.2662479918212455,1
20,16.940105790493458,0.11836185945497846,0.5307409897099262,1
1,13.42749071365648,-0.08112251699773765,2.104586055192641,2
2,13.22981359505488,-0.10466510592131328,1.7083880545880277,2
3,13.705423170691487,0.005434079441073436,1.7802432397463974,2
4,13.023275819057993,-0.10441344213388959,1.3749670966043652,2
5,13.098908820569264,-0.06241647280107543,2.512003167846359,2
6,12.679062591849597,0.12050795313214735,0.5537736466583851,2
7,13.684852841340204,-0.08325865580448522,1.724806517311606,2
8,12.943006403663395,-0.06234890650475222,1.1897453196154402,2
9,13.680661770447228,0.07933161552276147,0.5374404622472184,2
10,12.711132140302258,0.11692042516517631,0.4200660729675292,2
11,14.744238988037713,0.021905805038329618,0.5301204819277245,2
12,12.869859481040889,-0.009020374692482847,0.43310414432599487,2
13,13.223963316228415,0.10787333661903631,0.47763676688023793,2
14,12.849161146056908,0.050386984678567615,0.5484125730532412,2
15,13.588365935899535,0.05051868094795964,1.705490427595521,2
16,12.38640878858552,0.14681617941531044,0.9154185022026411,2
17,11.40815588070819,0.20045828389049802,0.09002004992021284,2
18,13.914781654719738,0.13584637268849065,0.027501185395919947,2
19,11.980767139209355,-0.05712393410050254,1.085023594668428,2
20,14.442572738318583,-0.025189158126622146,0.8553778373718899,2
1,12.84025818309748,-0.3411204686927931,2.503185646283413,3
2,11.918416132008138,-0.10494443335329606,2.229653290743329,3
3,12.425619553376906,-0.08271329365079794,2.5291418650793673,3
4,12.955920253954147,0.08746975151979086,2.452104113793297,3
5,12.587282862772074,-0.2511773109688278,2.1215937351182674,3
6,13.096733399574976,0.0638487028206498,1.0183463994180784,3
7,13.538044148477002,0.000557280471298327,2.3182071491123395,3
8,13.306106507268035,-0.14210450346419634,2.189304272517319,3
9,14.625146500491137,0.12045156738233231,1.050196552766863,3
10,13.570877413120455,0.04884148584037007,1.4625229863920595,3
11,13.544959413958546,0.0003243067942264588,0.9678936273714953,3
12,13.353734920822037,0.1518236472945773,1.3820440881763432,3
13,11.624951305025323,0.09261175496689589,0.982253725165549,3
14,12.968840392403038,0.052573760200886,1.4260043942247194,3
15,12.634075024960778,0.13345100556267653,1.9550171159606293,3
16,11.212077910337205,0.23742005849982206,1.0581032174904692,3
17,11.878586857641293,0.16565900846433124,0.7948195761471482,3
18,13.881564268999476,0.10624503836993426,0.837986239745959,3
19,13.12399025060807,0.010218600439799275,1.6111111111111143,3
20,14.90384005796314,0.1734411085450347,1.05565819861431,3
1,12.355302351488147,-0.17800535199670264,2.6069884726224757,4
2,11.72803961861225,0.06627124976648702,2.6688772650850012,4
3,13.162287760881917,0.003225286244145309,2.5467397731548544,4
4,11.95094938110807,0.22032685645427819,2.409097755686105,4
5,12.68175711513481,-0.19923330273744,2.507747961773134,4
6,12.700915736780175,0.2097230854222687,1.2664180650507433,4
7,13.033428247331992,0.21900826446281485,2.4555785123966984,4
8,12.632911163543334,0.25963755009397005,1.834734191580651,4
9,13.030042044769461,0.09370424597364035,1.4346466125382733,4
10,11.58027980632908,0.27252387448839954,1.3258390177353476,4
11,11.538834976263114,0.15324472243941045,1.2972374250716712,4
12,12.960496826824691,0.06984076935205508,1.2542960744127356,4
13,11.005701597786308,0.2661703338391419,1.1861722306525166,4
14,12.54044108174305,0.20731235989796915,1.341423823142918,4
15,12.34792176524469,0.10471002265825291,2.6325989490430572,4
16,11.65466853194923,0.34591683023691644,2.5519696900533972,4
17,11.707114973379003,0.2052583227612672,1.0320661446257589,4
18,12.386970086683837,0.14387240275593172,1.3146530678674253,4
19,10.724118065456747,0.04858565410077631,1.13705750396673,4
20,11.840021270198614,0.14636928145989714,1.2744265619059547,4
1,14.222044918941798,0.3472738037569343,3.3295118144141327,5
2,13.310641421626338,0.5173063338827433,3.3812102660701555,5
3,13.688956849077128,0.15698518733663036,3.108989253557951,5
4,14.580855624014761,0.6249048947501876,3.4788232310423552,5
5,13.327520731612804,0.057559288537561315,3.2949604743083114,5
6,12.885133373881311,0.36853766617429073,1.8774926144756137,5
7,13.157883611304882,0.38563003361025494,2.6352336863466235,5
8,14.122594802299096,0.5863236659566269,3.2979955213283176,5
9,13.056832107843139,0.5133463541666572,2.052897135416657,5
10,13.995190441869491,0.4505183788878355,2.443390669180019,5
11,15.616201348366555,0.45565073224648245,2.349728285898493,5
12,12.736173830039002,0.26523116808294844,1.4171107590378824,5
13,14.782321636927632,0.5029511369133957,2.4348330914368717,5
14,12.70949824796839,0.3922884980988499,1.5565589353612097,5
15,13.375486406744493,0.48440623750499867,3.183993069438884,5
16,12.41817095064695,0.37495176671626496,2.112121713246239,5
17,12.208825742486612,0.3536117381489703,1.68081264108352,5
18,14.57145259476003,0.27375643224701207,1.9602058319039486,5
19,14.013711945566524,0.5555668427468561,2.5152377082486908,5
20,14.86028414253978,0.26723119338322476,1.7957857424182748,5
1,15.587840202287019,0.19099021301093444,4.292530224525052,6
2,15.31845352188667,0.4842867487328135,4.413758146270823,6
3,16.530871842756834,0.7972771867937922,4.535247753954707,6
4,15.32352181771237,1.2616059901884853,4.7812548412083515,6
5,14.84532286746101,0.22106805167132393,3.7012917831935113,6
6,16.246451313936824,0.9359823399558422,3.4488378132710125,6
7,15.609665023276236,1.1348749607617492,4.647954378989226,6
8,17.50260044523511,1.9874400925466773,5.877706164270364,6
9,16.870186180610432,1.526112884765979,4.743148003132347,6
10,15.417265737325751,0.6628291415751448,2.7944267327901855,6
11,16.047066664706374,0.5033116720819919,1.9388902774306302,6
12,14.129832126000181,0.627496850818801,2.032211624977492,6
13,16.025258785703876,0.447686920194144,1.9242489402224123,6
14,17.28300321476719,1.232344706004369,5.190656434719472,6
15,15.487425667341453,1.7893533446678873,4.55209005100545,6
16,15.586946600116969,0.8180269880780884,2.5846106816891563,6
17,15.408670977742895,0.6872871419797946,2.408631567193339,6
18,14.935462024580936,0.7979256080114396,3.025393419170257,6
19,14.162823683532448,0.9155033364719429,2.754574855692482,6
20,18.391622851659353,1.7254018634176305,4.746800450496579,6
1,15.588654134155489,0.40116703136396836,4.4292487235594535,7
2,14.168396532792707,0.6834269228787662,4.196280459533256,7
3,15.577921728297417,0.9341444938926315,4.361755515576164,7
4,16.063978723703126,1.5709225503462676,5.222836902013853,7
5,16.68880152702937,0.425482799391915,4.736388716851536,7
6,16.14136818822901,1.052561276965207,3.613237160221729,7
7,15.140024534505638,1.3053725094968627,4.565198852624235,7
8,18.305371208693735,2.0100122878077684,6.414144632048419,7
9,16.58120083522349,1.442705185543332,4.228816632418699,7
10,16.23001569691649,1.4007055630936236,4.239728629579389,7
11,16.439974560467398,1.2959959684808382,4.091258933479935,7
12,16.410850987046693,1.00613496932516,3.5053517817517275,7
13,16.107104768963826,1.4804346569562483,4.230795907751002,7
14,14.785865767938837,0.9243701481163953,2.992665618897945,7
15,17.42730459375218,1.7610144743524643,5.709624174707983,7
16,14.004833502091971,1.9432039623254411,4.545306917830459,7
17,15.783616070959718,1.3736322595455022,3.347348687734325,7
18,15.942587995231058,0.7277061628112449,3.274236270527979,7
19,15.304211822386884,1.0239015651517889,3.2681972468414244,7
20,15.674887913189579,1.073904581558054,3.4172847298932254,7
1,13.726914279102473,0.3569158939108945,3.3444004928344384,8
2,11.325223308291926,0.6383801455338016,2.684852532780269,8
3,13.724378124541905,0.6790925496262048,3.387316318638824,8
4,14.649312523949627,1.1998296503099368,4.588321582359356,8
5,13.454327324533152,0.49800104293413483,2.5320702242308357,8
6,12.487412136643862,0.6938600869999334,2.66383798046067,8
7,14.927117619399477,1.3683079196614472,5.032041378383838,8
8,12.754395999237394,1.1979431563201217,3.3500747943156455,8
9,13.103659881096508,1.0160195204752824,3.116327180140047,8
10,15.007992179120828,1.4830003895164339,3.905403149518662,8
11,12.960390543829437,0.5032663924509961,2.09926203726107,8
12,14.530810065232936,0.7565343659244945,2.416505324298157,8
13,12.058271258030027,0.8134858044164162,1.9706511942316354,8
14,13.274447529214804,0.6568431937366199,2.029765861585048,8
15,12.906101885916941,0.8657651387093495,3.4103609426270225,8
16,11.311134595581372,0.9020722933092031,2.2769376588686328,8
17,12.28518049455238,0.9268437929454763,2.301923957856161,8
18,11.938037988918197,0.58765641293013,1.9094108446298321,8
19,12.636234618070832,0.5186335403726616,1.6779693243757094,8
20,13.067326833425552,0.566818034382095,2.624878365228682,8
1,15.46519610652123,0.525070196550331,3.521975818004705,9
2,13.664557925611152,1.0482604778859752,4.310196902749766,9
3,14.31324636654829,0.8786578461171644,3.977650634721982,9
4,14.48216824935031,1.5834606835232137,4.700437621561548,9
5,12.276611781691562,0.37975997112434356,2.499323226854358,9
6,12.599862055374913,0.8030150753768908,2.1396984924623155,9
7,12.640282066527297,0.6391017280730296,2.8458183893055207,9
8,15.978010376836226,1.905084993069238,5.056941708616023,9
9,12.374785889943714,1.0819038676826267,2.521288505290528,9
