L,a,b,luas_kerusakan,umur_simpan
14.453585942231488,-0.006602413295894394,0.992259239584115,13177,0
14.337212088482811,0.08163265306123435,0.592395012716338,16121,0
14.443677764360876,-0.006636826670785467,0.8670319493749048,12958,0
15.360817634994227,-0.06804863756225643,0.9829329036038814,13652,0
14.106552225055383,0.0028856408004571676,1.120506869079719,15941,0
14.01394266947097,-0.02299152023778106,0.957164087769911,11439,0
12.662145939456865,0.0543604829319122,1.2033462033462001,16317,0
14.511004299687738,-0.07575886404217158,1.7063174900093543,11761,0
14.834010465244953,0.027479172265515217,1.387664606288638,14884,0
14.875576913926821,0.03535233382498859,1.8571632487985994,21017,0
14.179119951893556,0.06019686000163915,0.5647929716098474,12293,0
14.849325753888952,-0.08862876254180208,1.2856011265622271,11362,0
13.823587265662788,-0.008792635430197038,0.9186828750147527,16946,0
12.291403699138082,-0.06079809260886293,1.5065252854812456,15938,0
15.221401942739059,0.0033403776672003005,1.5306428522735018,14669,0
12.851028034600326,-0.05213869906353352,0.9541255378385358,15804,0
14.270800817136152,-0.11795526298112691,1.2379257069926837,14887,0
13.966554841353172,-0.08297779712668785,1.2455376578145376,11485,0
14.254917642876933,-0.1589576113036486,1.3168488403092624,15004,0
12.639310486264188,-0.10992588487913224,1.3132229687608117,14437,0
15.984409778984606,0.5062243456025897,2.8426754592557586,14861,1
14.749394099982336,0.01909909909909402,2.027171171171176,13875,1
14.240272229619768,0.30897691966268326,2.0707944962272506,18024,1
13.701409638777394,0.10406220478162709,2.263280284863015,13761,1
14.498601810593048,0.22492594159965051,2.459655804767948,14178,1
12.381491178444092,0.18524938492507204,1.591031089241767,17884,1
15.382070067176633,0.1984159056009105,2.5483714539723508,12373,1
14.528098476978263,0.1728312784627235,2.4946129068088396,18006,1
14.979478168332658,0.14935988620197804,3.210471605208454,18278,1
16.306198593561454,0.1771280358406102,3.053713746757836,21205,1
13.86821066736684,-0.10943512390333865,2.1265199322764374,12994,1
13.70438222682438,-0.16465809072444415,2.3327691266079853,14770,1
13.771940992570704,-0.06493080606020385,1.6730504361513852,15247,1
14.619176692504004,0.30342225815144275,3.1654540555106507,18555,1
13.127063405983078,-0.09196448895970377,2.076788830715543,13179,1
14.03255042776105,0.02020699852144503,2.4022389635992454,14203,1
14.022457354600531,-0.16499358001634334,2.2483366405976426,17134,1
13.679090855561446,-0.11471471471470807,2.1040373707040487,14985,1
14.592785663835187,-0.10538731271915935,2.431303793433216,15685,1
11.966375409580278,0.03481432360743497,1.9118037135278598,15080,1
17.171086308274404,0.45665085869515565,4.6881992725263615,21719,2
17.20051195636794,0.5001093374152674,4.9012136453094115,18292,2
20.022490323930402,1.410566093657394,7.027304386484872,26992,2
18.1555360640328,0.8194644861311531,5.079578857356637,18711,2
18.51368481636085,0.8745951707456925,6.3350961341368475,24393,2
19.25357825378097,0.5285853141291739,6.04577184766282,22634,2
18.650342212356644,-0.025304638364772813,6.295351808176093,20352,2
15.649466472542088,-0.07560270009642522,3.2798457087753263,15555,2
18.44782602563922,0.24364660752817713,4.588707743946287,16684,2
17.239982133741705,0.9132848392036692,4.5670463246554505,20896,2
17.299184233155927,0.003081785855385988,3.3246147767680725,12655,2
19.532301232181183,0.6626557116352956,5.108295785846792,18865,2
17.869554458848274,0.3091259640102919,4.758530030380939,17116,2
18.76782199567441,1.1627253183396817,5.811013725814462,30235,2
17.449984543600532,0.27251084541319415,4.06353824992064,18902,2
14.216937221258751,0.02922092061140802,2.9540129773984347,22963,2
18.173685543083806,0.30870396939263856,4.459062649450033,20910,2
18.182082936388454,1.309431904002679,6.132038264663919,23834,2
17.332773458372074,0.5302249164353157,4.89298056767322,17651,2
15.328854108733552,0.3734600324706321,4.347961035240189,20942,2
19.383150371928107,1.6101273341500644,7.6961428518394825,26937,3
19.478430894483846,1.0526230240968744,8.138689097484672,24609,3
17.602725451001547,1.6630707237363822,6.884316400672645,31517,3
18.2727927962559,1.6156510374121922,7.061101127266795,30605,3
18.464856512412478,1.3864039820390417,7.274008841240544,28729,3
17.952395262803467,1.7548651920975828,7.157133154180087,33863,3
18.77755585433187,-0.3476461003214837,6.1508345444136125,22707,3
19.052284417204476,-0.18272489590394514,6.860075530163641,20654,3
18.88354551703048,1.23482413986261,6.901058403844445,33919,3
19.879370140106634,2.4565130984643133,7.038121047877155,27675,3
14.62311771555469,0.6904210332781702,4.320610406324704,27195,3
18.099392897061666,1.0695725810045928,6.106297633373458,22437,3
17.701154438214864,0.8768844221105496,5.444517670318817,24278,3
20.436345393342712,2.318913511383272,8.512656501045853,32987,3
